"","GSM180626","GSM180627","GSM180628","GSM180629","GSM180630","GSM180631","GSM180632","GSM180633","GSM180634","GSM180635","GSM180636","GSM180637","GSM180638","GSM180639","GSM180640","GSM180641","GSM180642","GSM180643","GSM180644","GSM180645","GSM180646","GSM180647","GSM180648","GSM180649","GSM180650","GSM180651","GSM180652","GSM180653","GSM180654","GSM180655","GSM180656","GSM180657","GSM180658","GSM180659","GSM180660","GSM180661","GSM180662","GSM180663","GSM180664","GSM180665","GSM180666","GSM180667","GSM180668"
"TTC9",3.49829682459284,3.54511799006637,3.56760787736212,3.65604112471525,3.60297897438701,3.77193233542493,4.05428191191082,4.09324478543131,4.1833581845869,3.72551579003346,3.71228481138897,6.77710645588057,3.7826431466026,5.05144997735076,6.13724664290865,3.80720595999766,4.34130413942545,4.88986776031107,5.95601686759228,3.49203221160457,3.53444097028078,4.74028276847421,3.9409810964039,4.00992841942519,5.50973208246139,4.75509998752884,4.89414041871199,3.85897966277869,3.46353395163684,4.43043839543246,3.23394119308362,3.55317294108343,3.57762547311631,3.75331234726824,4.33549551601163,3.6285917893897,3.76842837655228,3.39950224688663,3.45528258242493,4.00717016187364,6.03473242556678,3.69643064015853,5.7005891761529
"ALOX5",5.59700662655896,5.7520658491127,5.72281566458402,5.64964957515509,5.7535283179735,5.99729456338137,5.78954871467675,6.050471837304,5.57490153695976,5.54744607595256,5.88443048755503,6.27450496502442,6.62865657673806,6.88838086537876,7.00553934919544,7.76035178681589,7.09645449307442,6.19248500955977,6.87359466468123,5.71143733670373,5.67923660591551,6.86906860731455,6.18603788530399,6.93447059234044,6.94214646889232,6.51514166655957,6.49346181614039,6.07184479795209,5.96755716528082,5.81962013399561,7.10584193452263,5.82830950075076,5.65966799420021,6.01389682378221,5.56041531315174,5.90590132140972,5.68255198708577,5.74569860857166,5.78203050139843,5.90512674251066,6.86752529029442,5.43340842620192,6.76847346668658
"ATRNL1",5.2356322298631,4.8694158970013,5.66148729123281,6.19776923584964,5.68324582209023,5.45543057854148,6.0797604686557,6.19546400307419,5.95536817606898,6.08420153704336,4.42932856683773,4.43487128966533,4.8868659225081,4.76191780364148,4.56370813484804,5.15593385499857,4.7051449364452,4.89517863019785,4.63460827835516,6.0053692425838,5.62327365233022,4.89792322491461,4.79583235181898,4.57976975189034,4.57941735853693,4.49477216199498,4.39632292448182,4.6067650998632,4.89087002441872,5.43330025308739,4.5488169409139,5.68162735121756,5.33162209466238,4.99670140205857,5.17904232598031,4.96661043416987,5.61371455836513,5.96700320812366,5.88745706518622,5.23613339168039,4.67795239788861,6.71783281376877,5.08958314072466
"ERC2",5.19615393885344,4.2464147346268,5.00555720574585,5.2603141913489,5.57215509618537,4.66734205238844,4.95319539286903,5.40808198542396,4.45305112741861,5.66194677757806,3.97822685600136,4.28045002166789,4.11391589988841,3.89315655697008,4.1846001030101,4.7172216114576,4.39017709496393,4.27807011452846,4.30881938253513,4.84871546938271,4.58099323618702,3.99812456582158,4.32310963952986,3.80106536790268,4.01635443892857,4.1109351496949,3.83031038915659,3.91260123587472,4.54536616664713,4.51652368627775,3.91718271417117,4.70092042898301,4.34850489363046,4.06983362843347,4.02673896515793,4.01548654774555,4.56574763507897,4.87395595519505,4.62996631037435,4.27562228651479,4.04272870004345,5.26532485680166,4.46654568836468
"PTPN22",5.19867062706028,5.02280923127767,5.29306241999607,4.8500712211179,5.03603308092687,5.083929189611,5.13991062473344,5.10873676094362,4.58111671186546,4.86943620005306,5.68060307120655,6.65594398030096,5.70046950057307,5.47787757997456,6.40794252011486,5.97957065112895,6.29780500663577,5.08193916423588,5.33171472064326,4.74115711530641,5.19363058064874,7.23204439006355,5.63536080543807,7.28972887693134,6.44267313179285,6.1157462506829,6.57363647828908,6.28188869056815,5.33614830192922,5.12495311979275,6.45872878192735,5.05542504158701,5.20946846854955,5.65610230980643,4.9251967070275,5.49683942146142,5.24487956036275,4.94237409507459,4.83602836528191,4.93948984473191,5.12555951167941,5.37112793289856,6.03441503534308
"GATA4",9.23035793025253,8.95619769881869,9.0736813062534,9.57132595392243,9.35377282435653,9.0163974778734,8.71928134422614,9.32208794679168,8.9623669012957,9.34438488255367,8.30429401977355,8.20641614619205,7.82207826010341,8.40109590979544,8.11806882172016,8.08064018002041,8.13998723914111,8.33356117712884,8.35482918254447,9.10576361420038,9.4058964696889,8.57778537078332,8.47872179218512,8.51611675439552,8.32853607043491,8.27594352755643,8.16478159443811,8.24215364589483,9.05729391498845,8.91322001322938,8.02753027220424,8.92361213940422,9.05675385258036,8.67935057160055,8.16730749166742,8.33883903716524,9.1355199399378,9.20703697797657,9.13461277407667,8.90697600524381,8.20565406085098,8.51045223659342,8.37676833553152
"AMHR2",8.1722916934618,7.34214291235712,8.36578010997946,8.38466516316683,7.84632969085013,7.77867567680294,7.85003406956572,7.76853412269216,7.44899688831215,7.53147784803045,5.72176586586685,5.9137020491921,6.46513390466052,6.54393287764219,6.26227903499142,6.47028270813501,6.30047366516507,6.09176269360367,6.11341696428532,7.85830753334115,8.23574766926083,6.73649897533948,7.40286442810245,6.2646397089291,6.09167578731686,5.76928143478936,6.16283691210985,5.8252948958373,7.95218255865388,7.28077397826736,5.87027294528219,7.69559348853646,7.79946900013442,7.31283466543445,6.18757559726118,6.77829672636941,8.16594978011177,8.15049032028532,7.90004205374878,7.7767707631728,6.06204437423798,7.61323700519803,6.46384421902764
"BLNK",4.74310951714469,4.58784158130574,4.89712311950071,4.82491879504797,4.69385807886834,4.75082673988944,4.92682577531164,4.97628790428641,4.81533250626126,4.80813349528873,4.77675911612767,5.81534317757681,5.49864824042075,4.80607448611172,5.70256819488212,5.74956557535058,5.35240258960739,7.48270760633178,5.13443396204376,4.68616468058746,4.69716650742267,5.50047688777017,5.4624598681597,6.66158450257244,6.13790352633222,4.93934594965366,5.43255762098532,5.7251769560523,4.85298418250701,4.62965380391529,6.18889639270853,5.04543232855638,4.62122258535947,4.9557785175123,5.08185625003832,5.06161867041353,4.82468729068579,4.62565238454941,4.54064087444406,4.99004049662885,5.43057979074412,4.67261469778951,5.18619153145063
"H2AC8",5.64835535413186,6.20712960539627,5.82617182944193,5.67201133671386,6.47485744301739,6.25284492745253,6.38892603862868,6.9743132250166,6.51471787108561,6.00686690933971,7.75812337533529,6.9426176542151,7.93871344509973,7.95482786317721,7.45062279071307,8.60626803918758,7.51117509181294,7.85766681499166,5.94444244835509,6.10112556820268,6.43798926709108,6.75934386699733,7.3030103035309,6.18370843064587,7.89848169934537,5.99703146006465,7.03919371077361,6.62491843809148,6.22267984113398,6.37450663685743,6.37137142289442,6.65308731858493,6.25116497337234,6.01478000978614,9.00912743741319,6.35620783811821,6.12658818631351,5.93816764339287,5.8185282114065,5.90562400768491,6.6156565770055,6.51658726962798,6.65039428184533
"IGSF3",4.34808542278395,4.49239406057798,4.61900208590748,4.62084170795128,4.99436672664255,4.61907432672045,4.57908659374981,4.83866617121721,5.21333985927892,4.65083020691744,6.40192822088412,6.98363892116543,7.45147395210275,5.92794353094258,4.95947536108313,5.26765516300852,5.89195479038404,7.91381379810353,5.01214483570364,4.49909497973583,3.97179666898017,4.22808944270351,5.37156420447222,5.11601720182017,5.55749794354786,5.6446508706508,5.00429102691919,5.9347796367948,4.70006527309542,5.42104899991459,6.0475234342945,5.36203901940796,4.29075537713941,4.83829064331061,4.99625519305358,4.82009081042975,4.25555986462041,4.55864207886256,4.29295316542739,5.65399294159537,4.42415160244696,4.08783158654739,5.36370363887614
