GAdenoma	GCarcinoma	GQuimio
1483_at	7.58841883434974	7.5695417264938	7.57335093942592
1484_at	4.11181932577329	3.92406996708848	3.93321275906739
1485_at	2.93947495277111	3.25720218402318	2.95171824166948
1487_at	7.11829405442347	7.63290934866112	7.31466317496123
1489_s_at	6.83206897577556	6.98373400712773	6.88489848968103
1492_f_at	7.31526950853773	7.22001988219747	7.2293199384524
1493_r_at	6.35120898964503	6.15377050092862	6.36386134298352
1498_at	6.7525909486307	6.97501458342649	6.832792829506
150_at	4.34543307066064	4.65641930123562	4.40549927528638
1504_s_at	5.12268979591488	5.14801675625352	5.10141756043434
1506_at	8.20640912409706	8.47515411170437	8.51211980722164
1508_at	6.6831899092826	6.69237003158842	6.67263258248226
1509_at	5.33086895521867	5.38352144914187	5.34439807540598
1510_g_at	6.07340499848146	6.19196018366317	6.03598978391048
1511_at	6.9008528369108	6.91968197122172	6.85272783690609
1513_at	7.91819727566347	7.90097235266966	7.83591528686496
1514_g_at	6.06470675209519	6.179348928322	6.06202367403122
1517_at	7.20042357921702	7.15380100195202	7.12744577348544
1518_at	6.81265974169846	6.84813334166573	6.82674480166802
152_f_at	6.62437294246914	7.08931072724568	6.64936708994895
1520_s_at	6.98009462529459	7.8343749240844	7.17866796852968
1522_at	6.67857863038951	6.73978661671579	6.60337296204422
1525_s_at	5.23532140505323	5.34157156172229	5.31465410645956
1526_i_at	8.80164030429938	8.4130396602728	8.86853156771902
1528_at	5.78881493748756	5.61810601265623	5.7494285235646
153_f_at	4.63089454402086	5.79880191001679	4.75515208828542
1534_at	3.52556451370392	3.50621610174878	3.47955372832471
1536_at	3.88613975575677	4.68488696801935	4.02133903755526
1537_at	6.48496788808528	5.8360599700449	6.17652505098611
1538_s_at	3.32355343709683	3.3780047156705	3.35946571940794
154_at	4.83875899761662	4.79515327105652	4.82236197879409
1540_f_at	5.25801796220641	5.22579574224115	5.23776109426005
1541_f_at	6.22704918376735	6.24068865487571	6.24836640527673
1542_at	6.95120777366017	7.03701646584876	6.92151113384226
1543_at	4.48097932647152	4.65322953934032	4.49298469794863
1544_at	5.70955908821267	6.57605195005992	5.94108671467957
1545_g_at	3.86040332382448	4.03276821796058	3.85102177289549
1546_at	4.14816085977704	4.16423613525132	4.16085818363477
1547_at	7.41017027254922	7.41125426735585	7.41695209795764
1548_s_at	6.98336629649409	7.11486832052379	7.04353433798182
1549_s_at	5.74660222413885	5.61715377884992	5.69870565060651
1552_i_at	6.36130905447176	6.05473216125981	6.15214899116397
1553_r_at	6.76200311284474	6.7027549351441	6.7448948668877
1554_f_at	6.31911126143806	6.29562386557274	6.31497298066847
